question,answer,category,적용대상,출처
MVP와 301 어휘는 어떻게 병행해야 하나요?,"301은 하루 2챕터, MVP는 최소 하루 1챕터씩 병행하세요. 양이 부담되면 301과 MVP를 교차 학습해도 좋습니다.",학습자료,공통,line1
301 단어 학습이 부족하다고 느껴지면 어떻게 해야 하나요?,"301 단어를 다시 한 바퀴 보면서 101, 201 단어 중 부족한 부분을 추가하세요. 병행해서 반복하면 효과적입니다.",학습자료,공통,line2
시험 대비 단어 공부는 어떻게 가져가야 할까요?,"끝까지 계속 반복해서 눈에 익히는 게 가장 중요합니다. 시험 직전까지 회독을 멈추지 말고, 헷갈리는 단어는 집중 관리하세요.",시험준비,공통,line3
문법 복습은 어떻게 하는 게 효과적인가요?,문법은 노트에 정리한 뒤 문제를 다시 풀어보세요. 틀린 문제는 오답노트로 따로 관리하면 좋습니다.,영어,공통,line4
논리 문제에서 답이 두 개로 보이면 어떻게 해야 하나요?,지문 흐름과 근거 문장을 다시 확인하세요. 확실하지 않은 문제는 표시해두고 반복 복습해 주시는 게 좋습니다.,영어,공통,line5
논리 201은 어떻게 공부하면 좋을까요?,"101과 같은 패턴으로 접근하면 됩니다. 강의와 단어를 병행하고, 문제는 지문 흐름 중심으로 풀어보세요.",영어,공통,line6
문법 문제를 전체 복습할 때 어떻게 진행해야 하나요?,"틀렸던 파트를 다시 풀고, 헷갈리는 문법 규칙은 강의 영상을 참고하세요. 복습 시에는 속도를 빠르게 가져가세요.",영어,공통,line7
장문독해는 어떤 점에 집중해야 하나요?,문단의 흐름을 파악하고 주제를 찾는 연습을 하세요. 단문독해와 달리 지문 전체 구조에 집중하는 게 중요합니다.,영어,공통,line8
단문독해는 어떻게 공부해야 하나요?,짧은 지문을 빠르게 읽고 문제풀이 감각을 키우세요. 이분법을 활용해 문제를 나눠 풀면 효과적입니다.,영어,공통,line9
모의고사 본 뒤에는 어떻게 활용해야 하나요?,"시험 직후 오답을 정리하고, 틀린 문제는 이유→정답 근거 순으로 노트화하세요. 이후 약점 유형별로 다시 풀어보는 것이 좋습니다.",시험준비,공통,line10
모의고사 결과를 복습할 때 어떤 점을 중점적으로 봐야 할까요?,틀린 문제 유형을 분류해서 약점을 확인하세요. 자주 틀리는 유형은 따로 문제를 모아 반복 연습하세요.,시험준비,공통,line11
주말에는 평일보다 어떻게 공부량을 조정해야 할까요?,주말에는 단어량을 1~2챕터 늘려도 좋습니다. 모의고사나 전체 리뷰를 추가해 학습량을 보강하세요.,FAQ,공통,line12
복습은 어떤 방식으로 진행하는 게 좋을까요?,문법이나 논리는 노트에 핵심 정리 후 문제를 다시 풀어보는 방식이 효과적입니다. 하루 계획에 복습 시간을 반드시 포함하세요.,학습법,공통,line13
공부 계획을 어떻게 세우는 게 좋을까요?,"강의와 단어를 기본으로 두고, 하루 목표를 세분화하세요. 예: 오전 강의, 오후 문제풀이, 저녁 복습.",학습법,공통,line14
하루 공부 시간을 어떻게 배분하면 좋을까요?,"오전에는 암기 과목, 오후에는 강의와 문제풀이, 저녁에는 복습과 정리를 배치하는 것이 효과적입니다. 예를 들어 6:4 비율로 실전 연습과 복습을 나누세요.",FAQ,공통,line15
슬럼프가 올 때는 어떻게 극복할 수 있을까요?,"공부량을 줄이지 말고, 대신 과목을 바꿔 집중하세요. 짧게라도 루틴을 유지하는 것이 중요합니다.",FAQ,공통,line16
오답노트는 어떻게 작성해야 효과적인가요?,"틀린 파트를 기록하고, 이유를 적은 뒤 정답 근거를 정리하세요. 주기적으로 다시 확인하세요.",학습법,공통,line17
교재가 늦게 도착하면 어떻게 공부해야 할까요?,교재가 오기 전에는 기존 강좌와 단어 위주로 복습하세요. 교재가 도착하면 전체리뷰 후 새 과정으로 넘어가면 됩니다.,커리큘럼,공통,line18
101 과정을 마친 뒤에는 어떻게 공부를 이어가야 하나요?,101 전체 리뷰 후 201 과정으로 넘어가세요. 101과 비슷한 패턴이니 부담 갖지 말고 진행하세요.,커리큘럼,공통,line19
201 과정을 끝낸 뒤에는 어떤 흐름으로 가야 하나요?,301 교재로 이어가면서 전체 리뷰를 병행하세요. 7월쯤에는 401로 넘어가는 것이 적절합니다.,커리큘럼,공통,line20
단문독해 교재가 늦게 도착하면 어떻게 해야 하나요?,교재가 오기 전에는 논리와 단어 복습에 집중하세요. 교재가 도착하면 단문독해 강의부터 시작하세요.,커리큘럼,공통,line21
301 교재는 언제 시작하는 게 적절할까요?,201 과정을 마무리한 뒤 바로 301을 시작하세요. 단어와 병행해서 진행하면 좋습니다.,커리큘럼,공통,line22
편입 영어에서 가장 중요한 파트는 무엇인가요?,"논리, 독해, 어휘 세 가지가 모두 중요합니다. 단어가 기본이 되니 어휘 암기에 집중해 주세요.",입시정보,공통,line23
편입 공부를 학교와 병행할 때 주의할 점은 무엇인가요?,시간 배분이 핵심입니다. 수업 전후 짧은 시간을 활용해 단어와 복습을 꾸준히 챙기세요.,입시정보,공통,line24
편입 시험 준비는 몇 개월 전부터 본격적으로 시작해야 하나요?,보통 최소 1년 전부터 꾸준히 준비하는 것이 좋습니다. 남은 기간이 짧다면 단어와 독해에 집중하세요.,입시정보,공통,line25
강의와 단어를 병행할 때 어떤 순서가 좋나요?,"오전에 단어 암기, 오후에 강의와 문제풀이, 저녁에 복습 순서로 진행하세요. 집중력이 떨어질 때는 단어를 나눠서 보세요.",FAQ,공통,line26
휴식은 언제 취하는 게 좋을까요?,"집중력이 떨어지기 전에 50분 공부 후 10분씩 쉬는 것이 좋습니다. 장시간 학습 시 점심, 저녁 후에는 긴 휴식을 주세요.",FAQ,공통,line27
영어 실력이 늘지 않는 것 같을 때 어떻게 해야 하나요?,논리와 독해는 시간이 걸리니 꾸준히 문제를 풀어야 합니다. 단어 학습을 병행해 문제 이해도를 높이세요.,영어,공통,line28
학습 계획이 무너졌을 때는 어떻게 복구해야 하나요?,"다음 날부터 계획을 다시 세우고, 밀린 분량은 나눠서 채우세요. 하루 단위로 무리하지 않는 것이 중요합니다.",학습법,공통,line29
시험 직전에는 무엇을 집중적으로 봐야 하나요?,"단어와 오답노트를 중심으로 반복하세요. 새로운 내용은 최소화하고, 정리된 자료를 집중적으로 보시는 게 좋습니다.",시험준비,공통,line30
어휘 학습 교재가 늦게 도착했는데 교재 없이 인강을 들어도 될까요?,교재 오기 전까지는 어휘만 학습하시고 OT 강의는 미리 들어두시는 게 좋습니다.,학습자료,공통,line31
인강은 하루에 몇 강씩 듣는 게 좋을까요?,"2026 편입영어 프로파일러 lv.1 기준으로 하루 4강씩 수강하시고, 남은 시간은 어휘 학습에 활용해주세요.",커리큘럼,공통,line32
"강의를 문법, 독해, 논리 순으로 듣는다면 문법을 하나 더 듣게 되는 게 맞나요?",네 맞습니다. 순서대로 진행하다 보면 문법을 하나 더 듣는 날이 생깁니다.,커리큘럼,공통,line33
어휘는 하루에 어떻게 공부하는 게 좋을까요?,"표제어 위주로 매일 암기하시고, 전날 학습한 내용을 반드시 누적 복습해주세요.",학습법,공통,line34
교재는 어떤 것을 구매해야 하나요?,김신근 교수님의 2026 편입영어 프로파일러 lv.1 교재를 구매하시면 됩니다.,학습자료,공통,line35
휴식은 얼마나 가져도 되나요?,"주 1회 정도만 휴식하시고, 나머지 날은 집중해서 공부하시는 것이 좋습니다.",FAQ,공통,line36
모의고사는 꼭 신청해야 하나요?,"네, 모의고사를 통해 공부 방향을 점검하고 부족한 부분을 확인할 수 있으니 반드시 응시하시길 권장합니다.",시험준비,공통,line37
